Open time,High,Low,Close,Volume,Number of trades
2020-12-31 13:00:00,736.0,722.0,733.7,92908.90949,54290.0
2020-12-31 14:00:00,734.06,723.78,731.09,45768.93153,27190.0
2020-12-31 15:00:00,738.99,730.66,736.0,34818.86743,34192.0
2020-12-31 16:00:00,736.97,724.48,727.3,45192.35523,27222.0
2020-12-31 17:00:00,743.0,726.59,737.2,41547.83481,28281.0
2020-12-31 18:00:00,740.96,735.28,739.87,18794.08202,13254.0
2020-12-31 19:00:00,742.0,737.36,738.83,14810.28022,12703.0
2020-12-31 20:00:00,744.5,737.61,743.96,14700.26345,12638.0
2020-12-31 21:00:00,745.0,736.52,738.24,18490.32151,30586.0
2020-12-31 22:00:00,742.5,735.88,740.48,11375.6051,9910.0
2020-12-31 23:00:00,741.7,731.83,736.42,19450.08215,17769.0
2021-01-01 00:00:00,739.0,729.33,734.07,27932.69884,22671.0
2021-01-01 01:00:00,749.0,733.37,748.28,52336.18779,41712.0
2021-01-01 02:00:00,749.0,742.27,744.06,33019.501,19566.0
2021-01-01 03:00:00,747.23,743.1,744.82,17604.80859,12230.0
2021-01-01 04:00:00,747.09,739.3,742.29,18794.15424,13626.0
2021-01-01 05:00:00,743.23,739.5,740.65,14948.26447,11032.0
2021-01-01 06:00:00,743.25,737.04,739.97,17106.99495,12041.0
2021-01-01 07:00:00,740.51,734.4,737.38,21624.68945,19976.0
2021-01-01 08:00:00,738.48,725.1,730.07,52992.04892,38433.0
2021-01-01 09:00:00,734.77,728.77,733.68,22836.46973,27347.0
2021-01-01 10:00:00,738.87,733.27,736.81,22895.59711,15317.0
2021-01-01 11:00:00,741.76,736.11,738.85,29384.09871,16820.0
2021-01-01 12:00:00,743.33,732.12,733.19,50190.47228,28991.0
2021-01-01 13:00:00,741.99,733.0,740.08,23543.56362,17334.0
2021-01-01 14:00:00,742.67,736.46,738.0,22098.37395,17075.0
2021-01-01 15:00:00,740.0,733.5,735.39,25671.61199,20847.0
2021-01-01 16:00:00,737.73,733.01,735.83,22249.34205,15461.0
2021-01-01 17:00:00,736.45,726.57,727.94,40914.26505,24734.0
2021-01-01 18:00:00,731.8,714.29,724.6,66427.75355,41949.0
2021-01-01 19:00:00,728.28,720.95,725.34,26866.35862,18323.0
2021-01-01 20:00:00,730.71,722.5,729.48,22422.29118,16358.0
2021-01-01 21:00:00,730.61,726.69,728.23,14582.15316,10537.0
2021-01-01 22:00:00,731.97,725.65,728.9,14614.20353,12435.0
2021-01-01 23:00:00,730.58,727.65,728.91,14058.19051,8856.0
2021-01-02 00:00:00,730.66,716.26,719.9,46190.17553,28029.0
2021-01-02 01:00:00,731.75,714.91,729.38,37985.46001,24320.0
2021-01-02 02:00:00,734.4,729.05,729.44,21870.2522,13551.0
2021-01-02 03:00:00,731.96,728.4,730.39,13138.56186,9265.0
2021-01-02 04:00:00,730.67,726.26,729.45,13117.64933,9531.0
2021-01-02 05:00:00,733.4,729.22,731.99,19342.91315,11683.0
2021-01-02 06:00:00,740.49,730.53,737.04,41590.31856,21769.0
2021-01-02 07:00:00,738.66,733.07,735.12,23887.39609,14900.0
2021-01-02 08:00:00,738.35,728.21,733.84,32631.45363,19242.0
2021-01-02 09:00:00,734.64,723.06,725.41,38970.42653,21868.0
2021-01-02 10:00:00,733.93,723.01,728.47,34642.76548,28773.0
2021-01-02 11:00:00,731.1,727.17,729.7,14020.08545,14219.0
2021-01-02 12:00:00,757.0,728.25,752.38,134011.4756,76200.0
2021-01-02 13:00:00,772.8,749.11,770.77,154115.10137,81315.0
2021-01-02 14:00:00,771.28,753.0,760.94,88376.02018,61696.0
2021-01-02 15:00:00,768.99,760.86,768.43,51945.86127,29839.0
2021-01-02 16:00:00,782.98,764.5,781.94,145618.23911,75204.0
2021-01-02 17:00:00,784.66,774.04,778.84,74461.65986,37564.0
2021-01-02 18:00:00,784.39,772.0,780.01,57755.77853,35455.0
2021-01-02 19:00:00,787.69,776.77,784.79,56561.3149,35280.0
2021-01-02 20:00:00,785.48,750.12,756.55,122647.19925,75393.0
2021-01-02 21:00:00,771.34,751.2,768.95,69835.76346,43118.0
2021-01-02 22:00:00,774.5,765.06,772.19,21611.26997,21420.0
2021-01-02 23:00:00,777.73,762.98,774.56,38291.43536,34500.0
2021-01-03 00:00:00,778.86,770.59,775.81,34582.74165,28322.0
2021-01-03 01:00:00,779.0,772.35,776.97,27914.48711,18434.0
2021-01-03 02:00:00,781.59,775.48,778.94,23590.90685,16621.0
2021-01-03 03:00:00,779.28,771.47,772.37,28221.24422,20077.0
2021-01-03 04:00:00,778.44,768.71,777.41,34410.73823,25749.0
2021-01-03 05:00:00,790.0,776.1,786.42,81521.94162,48614.0
2021-01-03 06:00:00,801.92,783.73,799.96,89185.94716,49762.0
2021-01-03 07:00:00,805.74,795.1,799.78,80293.36056,42957.0
2021-01-03 08:00:00,819.5,791.5,817.76,92303.75687,54372.0
2021-01-03 09:00:00,825.66,813.0,818.45,95011.06759,68843.0
2021-01-03 10:00:00,829.0,816.49,825.72,82804.3962,59098.0
2021-01-03 11:00:00,832.3,824.01,829.76,64169.17352,38952.0
2021-01-03 12:00:00,835.86,826.38,831.47,55214.58488,34400.0
2021-01-03 13:00:00,888.33,831.46,874.21,180985.66008,102310.0
2021-01-03 14:00:00,921.73,862.3,912.38,261568.37752,134274.0
2021-01-03 15:00:00,920.0,879.52,917.72,200326.60168,105075.0
2021-01-03 16:00:00,978.0,917.72,935.26,323944.90322,158877.0
2021-01-03 17:00:00,958.21,917.0,935.54,218672.998,112677.0
2021-01-03 18:00:00,941.93,888.93,917.54,175928.67663,95486.0
2021-01-03 19:00:00,924.11,899.38,921.53,86493.82126,72107.0
2021-01-03 20:00:00,964.33,920.08,946.37,145884.75288,94424.0
2021-01-03 21:00:00,957.87,936.45,949.77,59816.23454,42632.0
2021-01-03 22:00:00,997.9,945.15,991.55,150727.1534,99234.0
2021-01-03 23:00:00,1011.07,955.0,978.28,220030.36048,113204.0
2021-01-04 00:00:00,994.56,954.22,975.8,147491.84724,107864.0
2021-01-04 01:00:00,979.0,956.01,966.96,79273.06804,69237.0
2021-01-04 02:00:00,982.33,962.2,979.39,72619.64295,47066.0
2021-01-04 03:00:00,1025.81,977.84,1021.41,133239.30292,79252.0
2021-01-04 04:00:00,1035.93,1013.75,1027.69,124509.51799,102502.0
2021-01-04 05:00:00,1096.0,1016.75,1084.18,222620.92814,119359.0
2021-01-04 06:00:00,1162.97,1078.59,1105.0,352657.89885,179717.0
2021-01-04 07:00:00,1118.89,1012.0,1044.31,296761.70921,172259.0
2021-01-04 08:00:00,1078.93,983.88,1022.64,266193.18381,145426.0
2021-01-04 09:00:00,1029.34,909.0,970.08,384301.29029,176280.0
2021-01-04 10:00:00,985.0,890.0,965.05,335379.28615,171987.0
2021-01-04 11:00:00,979.54,933.84,976.8,190237.62721,104950.0
2021-01-04 12:00:00,1031.85,956.12,1019.48,235476.92979,132608.0
2021-01-04 13:00:00,1020.0,975.27,1011.92,193603.2006,98969.0
2021-01-04 14:00:00,1045.0,1001.55,1043.25,197211.31353,99890.0
2021-01-04 15:00:00,1058.16,1027.03,1040.01,189054.3704,95040.0
2021-01-04 16:00:00,1048.0,982.05,1010.15,245057.38225,131676.0
2021-01-04 17:00:00,1026.56,985.55,999.47,120721.62389,85747.0
2021-01-04 18:00:00,1025.68,998.92,1015.19,84703.58793,66214.0
2021-01-04 19:00:00,1048.0,1011.41,1042.28,90513.65187,56758.0
2021-01-04 20:00:00,1049.7,1017.46,1019.69,75599.35887,66787.0
2021-01-04 21:00:00,1036.7,992.7,1006.19,92442.55568,65870.0
2021-01-04 22:00:00,1024.0,1003.2,1012.72,30171.61809,37651.0
2021-01-04 23:00:00,1046.54,1001.09,1041.43,85170.04434,64753.0
2021-01-05 00:00:00,1134.6,1041.45,1095.03,257412.82599,155146.0
2021-01-05 01:00:00,1118.1,1061.92,1114.52,184692.42881,128999.0
2021-01-05 02:00:00,1116.72,1068.18,1078.45,114597.83122,91678.0
2021-01-05 03:00:00,1087.32,995.0,1001.76,197089.21992,128918.0
2021-01-05 04:00:00,1030.81,986.0,1004.1,176195.12461,137759.0
2021-01-05 05:00:00,1024.46,974.45,989.83,158302.30662,99019.0
2021-01-05 06:00:00,1022.41,979.03,1015.15,129414.62655,77275.0
2021-01-05 07:00:00,1025.0,1000.93,1003.45,61159.42688,43010.0
2021-01-05 08:00:00,1044.71,1003.51,1026.97,105716.59566,75958.0
2021-01-05 09:00:00,1050.93,1022.43,1035.85,92325.74596,61912.0
2021-01-05 10:00:00,1042.4,1014.84,1028.31,67592.17946,53232.0
2021-01-05 11:00:00,1043.86,1024.07,1042.21,58899.65281,45671.0
2021-01-05 12:00:00,1055.0,1027.27,1028.99,71642.51507,74585.0
2021-01-05 13:00:00,1041.0,1020.46,1023.55,53808.51617,56626.0
2021-01-05 14:00:00,1048.23,1001.0,1047.9,115129.67335,95907.0
2021-01-05 15:00:00,1064.0,1036.0,1052.82,85508.32605,74742.0
2021-01-05 16:00:00,1084.0,1036.29,1065.84,118170.17042,83963.0
2021-01-05 17:00:00,1084.55,1060.7,1081.73,66686.13785,50810.0
2021-01-05 18:00:00,1094.86,1070.05,1074.0,102112.30063,85450.0
2021-01-05 19:00:00,1108.0,1040.0,1096.33,171567.07346,109994.0
2021-01-05 20:00:00,1103.84,1077.05,1098.99,71410.9486,56767.0
2021-01-05 21:00:00,1103.2,1074.44,1082.1,66771.99769,49889.0
2021-01-05 22:00:00,1120.0,1081.94,1108.02,74059.3687,59724.0
2021-01-05 23:00:00,1115.0,1081.11,1099.56,106730.68277,63469.0
2021-01-06 00:00:00,1110.3,1063.23,1081.16,99324.20691,70438.0
2021-01-06 01:00:00,1086.22,1057.26,1071.82,65497.17409,43692.0
2021-01-06 02:00:00,1087.0,1071.81,1077.41,48874.82288,51589.0
2021-01-06 03:00:00,1083.0,1061.0,1075.49,58594.9887,44968.0
2021-01-06 04:00:00,1135.02,1073.03,1119.17,149574.38791,101211.0
2021-01-06 05:00:00,1125.85,1086.37,1101.81,101989.342,85982.0
2021-01-06 06:00:00,1118.69,1097.51,1113.22,69105.85653,46025.0
2021-01-06 07:00:00,1122.02,1090.72,1106.59,77052.69559,54853.0
2021-01-06 08:00:00,1123.51,1091.11,1110.76,105217.5019,59043.0
2021-01-06 09:00:00,1112.87,1091.0,1099.02,83293.56815,49167.0
2021-01-06 10:00:00,1119.5,1097.29,1114.75,66864.59812,41327.0
2021-01-06 11:00:00,1166.58,1111.01,1151.88,171627.18689,115382.0
2021-01-06 12:00:00,1158.96,1123.52,1143.61,99636.98531,62763.0
2021-01-06 13:00:00,1148.0,1121.0,1134.99,94633.75531,57230.0
2021-01-06 14:00:00,1147.61,1124.61,1133.36,91718.45654,57043.0
2021-01-06 15:00:00,1153.94,1130.92,1143.89,70224.15379,43664.0
2021-01-06 16:00:00,1193.68,1144.01,1173.08,184933.76503,127318.0
2021-01-06 17:00:00,1207.7,1171.0,1192.25,136008.83546,81944.0
2021-01-06 18:00:00,1208.57,1183.72,1191.78,85000.17164,54398.0
2021-01-06 19:00:00,1204.95,1150.0,1160.78,108617.44241,68513.0
2021-01-06 20:00:00,1207.0,1116.61,1197.16,208518.37051,132917.0
2021-01-06 21:00:00,1200.8,1173.23,1181.26,115873.49118,64439.0
2021-01-06 22:00:00,1194.51,1173.12,1177.97,30488.473,33458.0
2021-01-06 23:00:00,1213.0,1175.55,1208.42,67466.36349,53524.0
2021-01-07 00:00:00,1221.0,1188.0,1199.8,95554.67255,69899.0
2021-01-07 01:00:00,1210.82,1195.59,1200.12,53546.21224,40378.0
2021-01-07 02:00:00,1205.12,1179.91,1196.53,56117.02736,42912.0
2021-01-07 03:00:00,1224.11,1193.67,1213.17,71549.09166,53197.0
2021-01-07 04:00:00,1216.63,1201.32,1210.42,55797.31429,40276.0
2021-01-07 05:00:00,1218.04,1200.71,1207.27,53541.34273,35030.0
2021-01-07 06:00:00,1210.93,1183.02,1198.71,61270.82274,44799.0
2021-01-07 07:00:00,1204.86,1181.09,1186.21,52978.58936,42058.0
2021-01-07 08:00:00,1198.95,1159.03,1195.77,88581.26432,66277.0
2021-01-07 09:00:00,1205.0,1181.24,1204.96,48669.39591,38843.0
2021-01-07 10:00:00,1205.7,1179.79,1183.51,47906.19223,39701.0
2021-01-07 11:00:00,1205.0,1183.03,1201.12,54084.34786,40059.0
2021-01-07 12:00:00,1229.5,1197.64,1227.2,93318.3766,67234.0
2021-01-07 13:00:00,1230.45,1209.0,1218.01,84541.63376,63305.0
2021-01-07 14:00:00,1229.29,1215.0,1224.5,61759.11098,43091.0
2021-01-07 15:00:00,1249.98,1216.0,1249.83,81232.00344,61208.0
2021-01-07 16:00:00,1277.41,1238.68,1263.97,150037.31158,93721.0
2021-01-07 17:00:00,1273.91,1259.0,1270.49,64620.34683,42890.0
2021-01-07 18:00:00,1289.0,1131.0,1222.73,256239.4916,166946.0
2021-01-07 19:00:00,1247.68,1170.0,1234.14,176324.91055,112983.0
2021-01-07 20:00:00,1245.0,1223.41,1242.72,65467.09339,47534.0
2021-01-07 21:00:00,1267.33,1239.58,1254.18,71614.46576,51027.0
2021-01-07 22:00:00,1259.0,1237.25,1245.47,30674.97767,32522.0
2021-01-07 23:00:00,1245.72,1201.45,1224.87,97496.82518,66809.0
2021-01-08 00:00:00,1233.0,1182.45,1182.96,72653.68292,64807.0
2021-01-08 01:00:00,1199.26,1160.0,1184.52,95990.82587,91653.0
2021-01-08 02:00:00,1186.29,1065.0,1111.34,199688.17322,143813.0
2021-01-08 03:00:00,1160.13,1105.61,1150.1,88803.50222,78640.0
2021-01-08 04:00:00,1177.65,1142.0,1169.03,78047.83239,63262.0
2021-01-08 05:00:00,1174.0,1142.23,1148.12,68772.26477,58472.0
2021-01-08 06:00:00,1182.46,1125.41,1175.21,91125.70394,72137.0
2021-01-08 07:00:00,1214.27,1166.38,1208.42,79414.38316,56815.0
2021-01-08 08:00:00,1209.27,1181.73,1199.99,56094.95252,46146.0
2021-01-08 09:00:00,1222.32,1185.99,1221.64,62345.38191,47432.0
2021-01-08 10:00:00,1270.24,1216.23,1251.31,134971.11476,95831.0
2021-01-08 11:00:00,1266.0,1240.0,1255.43,87416.71084,67132.0
2021-01-08 12:00:00,1273.75,1224.88,1249.9,97812.93795,79100.0
2021-01-08 13:00:00,1255.91,1221.62,1250.0,71962.98668,53858.0
2021-01-08 14:00:00,1257.09,1237.32,1257.0,49706.7127,41215.0
2021-01-08 15:00:00,1264.0,1171.72,1216.77,193110.42518,118592.0
2021-01-08 16:00:00,1242.18,1202.0,1227.22,83942.45331,63484.0
2021-01-08 17:00:00,1236.66,1209.24,1215.42,50501.14122,47655.0
2021-01-08 18:00:00,1222.06,1173.0,1182.87,99711.00929,81668.0
2021-01-08 19:00:00,1203.57,1179.63,1184.75,53462.02043,59259.0
2021-01-08 20:00:00,1195.5,1143.16,1145.9,140396.82392,104529.0
2021-01-08 21:00:00,1193.89,1135.51,1193.63,80549.78913,64165.0
2021-01-08 22:00:00,1220.0,1166.31,1216.58,50087.2119,66842.0
2021-01-08 23:00:00,1229.69,1208.38,1216.93,44604.88318,52310.0
2021-01-09 00:00:00,1234.67,1183.04,1197.93,79854.51548,64426.0
2021-01-09 01:00:00,1198.39,1171.36,1198.27,64568.88615,57207.0
2021-01-09 02:00:00,1208.0,1177.38,1199.84,52664.98659,47979.0
2021-01-09 03:00:00,1231.31,1192.11,1226.53,58922.41495,48301.0
2021-01-09 04:00:00,1227.49,1208.82,1219.16,39138.76117,36372.0
2021-01-09 05:00:00,1219.16,1181.06,1185.53,53982.3727,50308.0
2021-01-09 06:00:00,1195.62,1176.6,1179.8,57458.22227,48514.0
2021-01-09 07:00:00,1199.99,1173.65,1196.49,44526.17017,46860.0
2021-01-09 08:00:00,1212.93,1184.64,1208.01,45254.59089,34962.0
2021-01-09 09:00:00,1221.7,1204.46,1211.55,53127.64645,37141.0
2021-01-09 10:00:00,1229.55,1204.26,1218.58,52410.83531,38471.0
2021-01-09 11:00:00,1237.0,1214.5,1220.64,65753.715,45286.0
2021-01-09 12:00:00,1227.69,1211.0,1223.99,37974.97153,30906.0
2021-01-09 13:00:00,1229.52,1218.24,1221.39,37916.13763,31216.0
2021-01-09 14:00:00,1235.5,1220.48,1223.17,54819.69482,37833.0
2021-01-09 15:00:00,1227.64,1207.29,1219.95,51480.96518,36256.0
2021-01-09 16:00:00,1225.52,1194.08,1200.88,71457.01928,50122.0
2021-01-09 17:00:00,1224.59,1200.31,1222.52,49327.02761,33327.0
2021-01-09 18:00:00,1230.25,1218.56,1224.69,37061.33739,26797.0
2021-01-09 19:00:00,1235.69,1220.48,1229.42,36022.81451,27921.0
2021-01-09 20:00:00,1272.0,1217.54,1271.14,116955.13239,90043.0
2021-01-09 21:00:00,1294.18,1261.5,1287.96,139273.22601,99037.0
2021-01-09 22:00:00,1304.37,1276.32,1286.61,84360.71587,67584.0
2021-01-09 23:00:00,1292.74,1266.85,1276.0,64558.95579,45002.0
2021-01-10 00:00:00,1292.69,1273.82,1289.91,64505.45896,45540.0
2021-01-10 01:00:00,1335.0,1285.22,1323.44,106780.43325,79021.0
2021-01-10 02:00:00,1338.87,1309.93,1338.0,67904.63445,45764.0
2021-01-10 03:00:00,1340.98,1304.51,1310.97,79134.72476,49486.0
2021-01-10 04:00:00,1326.99,1306.2,1318.46,42415.54198,33185.0
2021-01-10 05:00:00,1328.84,1305.74,1315.54,44663.27058,35370.0
2021-01-10 06:00:00,1328.0,1313.48,1324.35,40389.42237,38403.0
2021-01-10 07:00:00,1345.69,1322.14,1344.7,57564.63601,43242.0
2021-01-10 08:00:00,1348.33,1318.21,1328.81,63901.05349,45182.0
2021-01-10 09:00:00,1346.0,1328.02,1331.63,39541.66223,34951.0
2021-01-10 10:00:00,1339.22,1283.32,1318.43,97177.24722,74216.0
2021-01-10 11:00:00,1319.99,1257.6,1259.28,139435.26814,95863.0
2021-01-10 12:00:00,1296.39,1237.0,1290.33,111811.6157,87375.0
2021-01-10 13:00:00,1323.71,1286.0,1309.66,78744.38345,53214.0
2021-01-10 14:00:00,1314.52,1283.05,1295.68,61943.49704,48301.0
2021-01-10 15:00:00,1313.74,1276.0,1303.18,55779.08399,45055.0
2021-01-10 16:00:00,1325.0,1296.15,1297.39,67018.97312,54836.0
2021-01-10 17:00:00,1305.0,1248.59,1300.65,155975.47097,103959.0
2021-01-10 18:00:00,1310.35,1273.0,1283.68,86761.80934,59958.0
2021-01-10 19:00:00,1295.91,1255.23,1263.17,53152.55459,43280.0
2021-01-10 20:00:00,1273.0,1170.0,1258.34,241097.41327,164349.0
2021-01-10 21:00:00,1274.89,1253.6,1270.6,96908.69545,74009.0
2021-01-10 22:00:00,1287.51,1261.52,1273.08,47104.97155,43709.0
2021-01-10 23:00:00,1277.38,1254.19,1254.25,51467.52812,39218.0
2021-01-11 00:00:00,1260.0,1203.08,1218.8,102913.67599,90929.0
2021-01-11 01:00:00,1230.73,1188.16,1208.03,81899.66431,65064.0
2021-01-11 02:00:00,1212.8,1171.2,1186.11,115075.02375,85577.0
2021-01-11 03:00:00,1198.11,1010.91,1104.14,331913.61069,213969.0
2021-01-11 04:00:00,1133.87,1050.0,1114.1,208377.37407,132153.0
2021-01-11 05:00:00,1129.47,1079.87,1094.18,123257.90891,88926.0
2021-01-11 06:00:00,1095.57,1015.0,1027.73,216656.56533,122064.0
2021-01-11 07:00:00,1082.0,1011.1,1071.84,172077.18416,116854.0
2021-01-11 08:00:00,1126.0,1063.0,1108.69,135924.78642,83004.0
2021-01-11 09:00:00,1135.35,1084.28,1135.07,97372.63394,75764.0
2021-01-11 10:00:00,1149.99,1109.25,1112.08,121732.27289,83800.0
2021-01-11 11:00:00,1117.42,1064.17,1067.87,148333.9181,88020.0
2021-01-11 12:00:00,1103.12,1038.65,1073.66,173468.67682,105724.0
2021-01-11 13:00:00,1079.0,1025.63,1026.09,182310.8552,101501.0
2021-01-11 14:00:00,1043.22,950.0,1038.53,318635.66607,179230.0
2021-01-11 15:00:00,1048.47,973.23,977.21,194594.79272,118719.0
2021-01-11 16:00:00,990.69,915.0,963.55,310328.71762,191287.0
2021-01-11 17:00:00,1023.5,918.43,998.3,272057.63421,155377.0
2021-01-11 18:00:00,1024.0,982.75,993.51,135773.01524,82281.0
2021-01-11 19:00:00,1007.26,945.0,984.41,165012.05389,87382.0
2021-01-11 20:00:00,1022.0,958.0,1019.94,136389.16716,77723.0
2021-01-11 21:00:00,1044.99,1006.0,1031.55,135023.0882,73942.0
2021-01-11 22:00:00,1072.97,1022.35,1057.87,82869.79852,66165.0
2021-01-11 23:00:00,1094.0,1057.66,1087.01,106786.57257,72158.0
2021-01-12 00:00:00,1091.36,1038.34,1061.88,128065.46223,84886.0
2021-01-12 01:00:00,1083.8,1041.11,1055.12,76919.25907,72201.0
2021-01-12 02:00:00,1076.6,1044.07,1069.27,73940.33572,47237.0
2021-01-12 03:00:00,1089.33,1062.61,1088.52,60965.39544,40889.0
2021-01-12 04:00:00,1101.44,1076.25,1095.87,75719.17673,53811.0
2021-01-12 05:00:00,1129.61,1092.05,1129.61,86030.64807,60485.0
2021-01-12 06:00:00,1150.02,1123.1,1137.94,104798.05688,71196.0
2021-01-12 07:00:00,1150.0,1123.0,1139.05,95691.41208,62076.0
2021-01-12 08:00:00,1144.11,1105.21,1116.8,103607.57856,64532.0
2021-01-12 09:00:00,1127.73,1107.2,1114.94,75304.95385,53673.0
2021-01-12 10:00:00,1122.29,1065.95,1084.5,159471.61628,84556.0
2021-01-12 11:00:00,1106.57,1084.24,1099.16,91531.95809,52638.0
2021-01-12 12:00:00,1111.54,1082.8,1086.87,84127.55086,47310.0
2021-01-12 13:00:00,1096.84,1024.44,1025.71,200882.06893,93652.0
2021-01-12 14:00:00,1054.0,1006.33,1035.91,188583.22264,101905.0
2021-01-12 15:00:00,1067.71,1035.52,1053.34,101103.01337,61709.0
2021-01-12 16:00:00,1107.33,1052.79,1106.77,111393.86609,71033.0
2021-01-12 17:00:00,1126.88,1096.23,1117.67,97137.22051,86890.0
2021-01-12 18:00:00,1122.93,1090.77,1104.33,67254.05282,49913.0
2021-01-12 19:00:00,1104.59,1060.14,1082.76,73905.93666,55533.0
2021-01-12 20:00:00,1086.27,1059.5,1080.61,65346.9311,47904.0
2021-01-12 21:00:00,1086.93,1051.78,1078.07,51722.47115,42651.0
2021-01-12 22:00:00,1088.25,1041.0,1052.49,41585.92381,43837.0
2021-01-12 23:00:00,1053.03,1025.0,1050.16,87557.22958,66108.0
2021-01-13 00:00:00,1050.82,987.48,991.32,155940.2195,91190.0
2021-01-13 01:00:00,1038.32,989.83,1031.12,95397.66483,63091.0
2021-01-13 02:00:00,1049.0,1015.03,1030.83,74390.41819,53602.0
2021-01-13 03:00:00,1059.66,1028.64,1046.72,76191.9494,50368.0
2021-01-13 04:00:00,1048.7,1018.61,1023.68,55872.22022,41638.0
2021-01-13 05:00:00,1036.61,1010.79,1036.24,51737.53332,46082.0
2021-01-13 06:00:00,1053.89,1031.87,1044.37,50383.24953,36482.0
2021-01-13 07:00:00,1080.75,1042.37,1076.35,71005.34046,49482.0
2021-01-13 08:00:00,1076.86,1054.54,1059.75,61640.19245,40544.0
2021-01-13 09:00:00,1078.09,1053.79,1060.2,55345.38696,37065.0
2021-01-13 10:00:00,1096.64,1060.1,1079.61,84831.09084,59659.0
2021-01-13 11:00:00,1086.65,1056.0,1061.6,73368.97169,50178.0
2021-01-13 12:00:00,1066.06,1045.07,1057.59,60704.19971,43049.0
2021-01-13 13:00:00,1070.94,1051.29,1067.14,40154.03686,33291.0
2021-01-13 14:00:00,1084.0,1051.19,1055.52,59010.57149,42493.0
2021-01-13 15:00:00,1074.87,1049.41,1071.5,43591.32841,36181.0
2021-01-13 16:00:00,1078.6,1060.78,1073.3,39340.15753,30882.0
2021-01-13 17:00:00,1080.0,1065.0,1074.14,37795.51243,31094.0
2021-01-13 18:00:00,1108.8,1071.5,1103.52,79066.99897,54577.0
2021-01-13 19:00:00,1109.78,1095.48,1102.08,61208.92542,42904.0
2021-01-13 20:00:00,1119.0,1091.25,1110.9,70720.35105,55536.0
2021-01-13 21:00:00,1127.87,1102.04,1126.84,63655.44505,46068.0
2021-01-13 22:00:00,1137.65,1108.18,1118.24,57079.20252,52352.0
2021-01-13 23:00:00,1135.99,1118.23,1129.89,45771.42398,36175.0
2021-01-14 00:00:00,1147.97,1128.59,1133.79,82071.62481,59351.0
2021-01-14 01:00:00,1134.51,1114.66,1114.98,55848.93394,43728.0
2021-01-14 02:00:00,1121.5,1106.01,1113.34,44744.9801,34447.0
2021-01-14 03:00:00,1115.96,1091.02,1096.39,49762.46522,38416.0
2021-01-14 04:00:00,1110.89,1086.7,1109.28,48735.75475,33538.0
2021-01-14 05:00:00,1116.0,1101.23,1109.86,35992.41901,27975.0
2021-01-14 06:00:00,1129.53,1106.1,1121.19,47091.26606,39439.0
2021-01-14 07:00:00,1162.57,1117.87,1148.0,112301.75702,76666.0
2021-01-14 08:00:00,1171.74,1147.82,1157.01,75520.3051,59095.0
2021-01-14 09:00:00,1160.74,1141.78,1146.15,59772.1537,42967.0
2021-01-14 10:00:00,1169.5,1144.83,1168.56,54365.14397,40396.0
2021-01-14 11:00:00,1174.73,1157.36,1166.59,49781.74204,37358.0
2021-01-14 12:00:00,1171.57,1147.51,1168.76,56454.38306,42771.0
2021-01-14 13:00:00,1196.98,1165.56,1193.24,89699.62015,67586.0
2021-01-14 14:00:00,1215.92,1187.34,1208.63,103621.82423,76150.0
2021-01-14 15:00:00,1220.63,1194.47,1212.8,80477.32015,60532.0
2021-01-14 16:00:00,1247.55,1212.71,1225.18,118216.22133,91808.0
2021-01-14 17:00:00,1243.0,1216.63,1219.15,57465.41252,48042.0
2021-01-14 18:00:00,1228.67,1203.2,1210.22,61624.52509,61173.0
2021-01-14 19:00:00,1233.0,1210.19,1231.53,41916.31765,48954.0
2021-01-14 20:00:00,1234.18,1206.54,1207.26,31271.0076,42630.0
2021-01-14 21:00:00,1213.5,1163.68,1188.42,110624.7094,90081.0
2021-01-14 22:00:00,1204.0,1177.92,1200.58,38576.50411,50774.0
2021-01-14 23:00:00,1235.84,1197.93,1231.62,49800.99455,41892.0
2021-01-15 00:00:00,1256.98,1225.27,1237.1,98660.72886,93381.0
2021-01-15 01:00:00,1254.42,1224.42,1230.61,55209.33685,53954.0
2021-01-15 02:00:00,1242.0,1217.5,1239.62,50472.2257,51179.0
2021-01-15 03:00:00,1241.9,1201.0,1219.07,57184.49856,60184.0
2021-01-15 04:00:00,1222.58,1205.24,1207.9,54906.03275,50460.0
2021-01-15 05:00:00,1227.98,1185.0,1185.36,65348.10132,49994.0
2021-01-15 06:00:00,1200.56,1175.41,1200.56,69389.96687,50710.0
2021-01-15 07:00:00,1242.99,1189.18,1240.97,88362.95528,67170.0
2021-01-15 08:00:00,1247.88,1215.09,1217.66,65013.70575,53128.0
2021-01-15 09:00:00,1235.39,1205.0,1232.37,57747.13404,46147.0
2021-01-15 10:00:00,1240.0,1222.97,1234.0,45352.39614,47088.0
2021-01-15 11:00:00,1238.98,1220.11,1226.12,40761.67186,35737.0
2021-01-15 12:00:00,1230.64,1195.87,1221.71,98760.99478,65984.0
2021-01-15 13:00:00,1226.0,1207.25,1221.93,69913.90059,50068.0
2021-01-15 14:00:00,1228.0,1183.7,1196.54,96971.30231,68381.0
2021-01-15 15:00:00,1197.0,1126.44,1141.52,168015.30533,110314.0
2021-01-15 16:00:00,1170.07,1069.42,1165.2,289761.25108,175534.0
2021-01-15 17:00:00,1165.4,1132.07,1154.8,115350.31005,76665.0
2021-01-15 18:00:00,1175.34,1121.23,1139.22,105433.87377,78011.0
